ResSecond,EffortFiscInd,EffortFisc,ReFiscHab,DGF,CodeINSEECom,NomCom,PopDGF,PopINSEE,AGE65,Sup,PotFisc,PotFiscHab,ProduitnetFB,ProduitnetTH,BasesnettesFB,BasesnettesTH,NombredelogementsTHdelacommune,Nombredelogementssociauxdelacommune,DGFHab
2826,"95,4556063","1,238579","353,1558344",1 384 234,22054,ERQUY,6811,3985,42,2646,"741,564822","849,976949",1407326,1677683,7009767,10153726,4516,55,"347,3611041"
2683,"130,0141852","0,909357","468,0630252",710 324,56155,PENESTIN,4611,1904,"43,1",2169,"751,873346","859,503578",891192,863703,5300289,8512704,3410,57,"373,0693277"
2559,"94,44269013","1,251863","345,8440293",1 316 484,29058,FOUESNANT,12516,9957,"29,3",3276,"858,105145","943,229466",3443569,4558245,15972073,23633382,7065,222,"132,2169328"
2544,"139,2668152","0,848941","574,7385542",294 070,56214,SAINT-GILDAS-DE-RHUYS,4204,1660,"51,2",1528,"1030,7745","1099,226927",954066,1074983,6802732,11753672,3327,17,"177,1506024"
2410,"93,03380209","1,270821","419,8700931",1 852 245,22168,PERROS-GUIREC,9823,7413,43,1416,"983,813092","1122,28362",3112497,2907466,12747907,17164768,6348,314,"249,8644274"
2386,"80,98985165","1,459804","285,1892953",31 818 686,29019,BREST,145155,142629,"16,4",4951,"857,001392","1002,700506",40676264,43616097,166344832,182911161,74733,15527,"223,0870721"
2352,"153,73383","0,769052","341,361177",500 418,56234,SAINT-PIERRE-QUIBERON,4459,2107,39,754,"903,76497","1009,835389",719248,829437,6882142,11446222,3484,77,"237,5026103"
2196,"110,8984765","1,066104","415,3573415",637 308,29006,BENODET,5792,3596,37,1053,"1133,561637","1239,174896",1493625,1540537,8139250,10920814,3305,68,"177,2269188"
1972,"93,01989471","1,271011","274,5719733",872 209,22325,SAINT-QUAY-PORTRIEUX,5119,3147,"40,7",387,"935,969135","1056,379371",864078,1605578,5394615,8546980,3613,107,"277,1557038"
1956,"121,3708731","0,974116","260,6739601",897 872,29135,LOCTUDY,6115,4159,39,1273,"742,924939","840,528209",1084143,1498131,7204722,10985231,3567,89,"215,8865112"
1886,"91,32885253","1,294545","403,322545",1 973 617,29039,CONCARNEAU,21804,19898,"28,3",4108,"971,856678","1038,197257",8025312,7535449,31704738,35980927,12446,1865,"99,18670218"
1868,"108,5602795","1,089066","291,8651683",6 860 687,56260,VANNES,57501,55573,"24,4",3230,"1058,163754","1144,568703",16219823,16542968,87448908,101183704,31175,6104,"123,4536016"
1839,"120,6931391","0,979586","176,4234625",1 197 342,56054,ERDEVEN,5530,3691,"23,9",3064,"498,007414","602,546293",651179,773474,4018594,6376657,2852,73,"324,3950149"
1815,"138,3383035","0,854639","541,2977697",356 315,56258,TRINITE-SUR-MER,3474,1659,"43,4",620,"1094,06304","1196,254174",898013,820083,6604719,9924197,2411,49,"214,7769741"
1758,"94,38132048","1,252677","277,022167",1 280 497,35049,CANCALE,7023,5233,"35,6",1261,"716,751815","817,139826",1449657,1819859,7621332,10484508,3986,219,"244,6965412"
1738,"136,7334467","0,86467","289,4882268",443 842,35256,SAINT-BRIAC-SUR-MER,3819,2081,"36,5",806,"738,008117","844,06651",602425,821030,4865396,8478878,2584,100,"213,283037"
1631,"97,69329876","1,210209","363,982424",1 265 885,29158,PENMARCH,7093,5462,"35,7",1639,"729,108558","821,192302",1988072,2014044,8265440,11735530,4361,160,"231,762175"
1620,"131,2931046","0,900499","378,9094702",300 438,35287,SAINT-LUNAIRE,4017,2397,"31,1",1027,"903,018422","969,996764",908246,922223,5831644,8493002,2658,90,"125,339174"
1571,"91,13982054","1,29723","185,5508974",2 317 381,22055,BINIC-ETABLES-SUR-MER,8703,7132,"30,3",1534,"598,368953","729,055958",1323349,2331020,7839527,11627134,4843,211,"324,9272294"
1516,"80,05619432","1,476829","411,1278926",1 793 629,29046,DOUARNENEZ,16076,14520,"29,2",2494,"1002,143817","1095,367567",5969577,6475018,22541318,24369838,9149,1488,"123,528168"
1505,"87,1613452","1,356442","388,4441995",2 972 957,56162,PLOEMEUR,20123,18602,30,3972,"817,890474","941,929732",7225839,5691373,23247697,30690690,9566,713,"159,819213"
1487,"104,7058198","1,129157","326,2452532",566 171,29031,CLOHARS-CARNOET,5911,4424,"28,8",3483,"894,113686","969,317036",1443309,1899276,7915103,11422194,3613,118,"127,97717"
1486,"110,5992859","1,068988","242,5040346",1 277 524,29150,MOELAN-SUR-MER,8446,6940,"32,6",4730,"768,800852","852,358276",1682978,2068193,9497871,13572487,4719,180,"184,081268"
1480,"108,6836265","1,08783","241,6386021",1 337 534,29003,AUDIERNE,5257,3777,"37,4",1837,"633,435229","779,209815",912669,1159303,5848267,7714855,3194,170,"354,1260259"
1416,"96,51025547","1,225044","293,6226383",1 785 974,56078,GUIDEL,13182,11750,"19,6",5229,"739,937111","843,072068",3450066,3031000,13759850,19056126,5985,405,"151,9977872"
1407,"94,21645558","1,254869","418,4520137",750 010,56069,GROIX,3741,2334,"38,7",1482,"630,462978","740,641807",976667,722078,3219407,4804821,2516,137,"321,3410454"
1312,"95,78963055","1,23426","386,7533757",503 084,22353,TREGASTEL,3830,2518,"38,7",700,"757,338381","860,239426",973845,1064325,4613679,6924161,2378,94,"199,7950755"
1284,"100,0196347","1,182061","302,9529971",977 465,22343,TREBEURDEN,5071,3787,"34,2",1340,"708,529876","813,867285",1147283,1375547,6072754,10089763,3225,90,"258,1106417"
1267,"117,9816659","1,002099","363,7043287",467 393,29153,NEVEZ,3993,2726,"35,1",2537,"901,229652","971,585525",991458,1300367,5797703,9106806,2553,68,"171,4574468"
1259,"109,401991","1,080687","247,0790813",1 066 003,29293,TREGUNC,8530,7271,"30,9",5061,"795,459555","892,66612",1796512,2337951,10033628,15589392,4509,119,"146,6102324"
1243,"147,2766912","0,80277","377,9519168",132 739,56233,SAINT-PHILIBERT,2782,1539,36,705,"994,109274","1040,40762",581668,461012,4325325,6510127,1908,40,"86,25016244"
1213,"112,1239368","1,054452","399,3836817",472 449,29188,PLOUGASNOU,4179,2966,"40,7",3394,"922,704714","988,648959",1184572,1044561,6080097,7497430,2646,71,"159,288267"
1200,"126,1805786","0,936985","300,0945083",446 033,22094,LANCIEUX,2766,1566,"34,4",669,"696,822487","779,464208",469948,699203,3245682,5548139,1939,40,"284,8231162"
1177,"94,47642463","1,251416","300,4997977",10 743 266,29232,QUIMPER,68040,66743,"19,5",8445,"939,658524","1058,815359",20056258,20169521,94047561,93229639,34734,5483,"160,9646854"
1158,"95,09635924","1,243258","128,0616386",677 299,56152,PALAIS,3770,2612,"26,8",1743,"719,092573","815,760743",334497,672738,4173033,5530634,2245,104,"259,3028331"
1153,"104,2794326","1,133774","253,3623737",344 793,22179,FREHEL,2737,1584,"38,8",1891,"781,905005","881,291195",401326,568076,2917336,4402024,1746,33,"217,6723485"
1137,"128,407393","0,920736","417,4581525",249 160,56116,LOCMARIAQUER,2750,1613,"39,7",1099,"856,414909","939,171273",673360,515143,3640939,6002022,1787,37,"154,4699318"
